Categoria;Item;Referencia;Cantidad;Estado;Costo promedio;Total
Licores;Tequila Jose Cuervo Reposado 375ml;7501035010284;1;Activo;$29.275;$29.275
Licores;Tequila Jose Cuervo Reposado 750Ml;7501035010109;1;Activo;$0;$0
Licores;Rancho Escondido 750ml;7503001506876;3;Activo;$27.409;$82.228
Licores;Tequila Jimador Reposado 375Ml;744607002318;-1;Activo;$35.555;-$35.555
Licores;Tequila Jimador Cristalino 700Ml;;0;Activo;$53.731;$0
Licores;Vodka Smirnoff Lulo 375Ml;7707096225951;1;Activo;$11.934;$11.934
Licores;Vodka Absolut Citron 700Ml;7312040090709;1;Activo;$37.810;$37.810
Licores;Vodka Absolut Blue 350ml;7312040017355;0;Activo;$29.112;$0
Licores;Vodka Absolut Blue 700ml;7312040017683;0;Activo;$20.531;$0
Licores;Vodka Smirnoff 700ml;5410316942775;1;Activo;$40.470;$40.470
Licores;Aguardiente Nectar Club Verde 750ml;7702404005041;3;Activo;$30.621;$91.863
Licores;Aguardiente Nectar Club Verde 375ml;7702404005034;2;Activo;$4.835;$9.670
Licores;Aguardiente Antioqueño Azul 750ml;7702049000531;3;Activo;$25.821;$77.462
Licores;Aguardiente Nectar Rojo 750ml;7702404000046;0;Activo;$13.536;$0
Licores;Aguardiente Nectar Rojo 375ml;7702404000039;0;Activo;$8.165;$0
Licores;Aguardiente Antioqueño Rojo 375ml;7702049000449;0;Activo;$14.965;$0
Licores;Aguardiente Antioqueño Rojo 750ml;7702049000432;3;Activo;$26.459;$79.376
Licores;Aguardiante Nectar Azul 375ml;7702404006031;2;Activo;$9.644;$19.288
Licores;Aguardiente Antioqueño Verde 750ml;7702049001644;5;Activo;$23.510;$117.552
Licores;Whisky Chivas 12 años 700Ml;080432402931;1;Activo;$75.639;$75.639
Licores;Whisky Black Label 375Ml;5000267024608;2;Activo;$43.550;$87.099
Licores;Whisky Red Label 375ml;5000267014609;1;Activo;$18.895;$18.895
Licores;Whisky Black And White 700Ml;50196135;1;Activo;$20.422;$20.422
Licores;Whisky Black Label 700Ml;;1;Activo;$86.056;$86.056
Licores;Whisky Buchanans 12 Años 375Ml;50196395;1;Activo;$50.262;$50.262
